typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerISO,partnerDesc,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,customsCode,customsDesc,motDesc,qty,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,,,,,2326590208528,,2326590208528,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,,,,,2410855476207,,2410855476207,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,,,,,2313424569327,,2313424569327,0,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,2247167254438,,2247167254438,4,False
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,2405276626657,0.0,2405276626657,4,False
C,A,20180101,2018,52,2018,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,2611432490157,0.0,2611432490157,4,False
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,2567492197103,2497500296868.0,2567492197103,4,False
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,2405381557667,0.0,2405381557667,4,False
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,2932976075226,0.0,2932976075226,4,False
C,A,20220101,2022,52,2022,842,USA,USA,M,Import,W00,World,W00,World,H6,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,3372902165775,3243389128166.0,3372902165775,4,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,W00,World,W00,World,H6,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,3168471121076,3080052528515.0,3168471121076,4,False
C,A,20240101,2024,52,2024,842,USA,USA,M,Import,W00,World,W00,World,H6,HS,True,TOTAL,All Commodities,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,3356812501330,3264894421051.0,3356812501330,4,False
